0.00659591394831761+0.00516205091138157i,0+0i,0+0i,0+0i,0+0i
0.00659591394831761+0.00516205091138157i,1.98705103459581e-07+4.79015517300292e-08i,1.43263915963248e-08+1.68951687219883e-08i,1.9870510345957e-07+4.79015517300304e-08i,1.4326391596324e-08+1.68951687219897e-08i
0.00659591394831761+0.00516205091138157i,7.98065034988254e-07+1.92756166261236e-07i,5.75837241925283e-08+6.81680569367682e-08i,7.98065034988392e-07+1.92756166261281e-07i,5.75837241925358e-08+6.81680569367825e-08i
0.00659591394831761+0.00516205091138157i,1.80797798333953e-06+4.38066563309794e-07i,1.30621929237347e-07+1.55613159434204e-07i,1.80797798333971e-06+4.38066563309865e-07i,1.30621929237358e-07+1.55613159434214e-07i
0.00659591394831761+0.00516205091138157i,3.24550331042956e-06+7.89851643742041e-07i,2.34910534724877e-07+2.82332288796835e-07i,3.24550331042989e-06+7.89851643742135e-07i,2.3491053472489e-07+2.82332288796839e-07i
0.00659591394831761+0.00516205091138157i,5.13575850801305e-06+1.25693589730591e-06i,3.72623420004423e-07+4.52912594457566e-07i,5.1357585080141e-06+1.25693589730623e-06i,3.72623420004519e-07+4.52912594457831e-07i
0.00659591394831761+0.00516205091138157i,7.51329004497137e-06+1.85139303964067e-06i,5.4676889862442e-07+6.73700700287952e-07i,7.51329004496997e-06+1.85139303964036e-06i,5.46768898624355e-07+6.73700700287779e-07i
0.00659591394831761+0.00516205091138157i,1.04240545809871e-05+2.58918940848947e-06i,7.61378718655179e-07+9.53202585779597e-07i,1.0424054580988e-05+2.58918940848962e-06i,7.61378718655146e-07+9.53202585779491e-07i
0.00659591394831761+0.00516205091138157i,1.39282220891223e-05+3.49109759025385e-06i,1.02177711044518e-06+1.30265527710787e-06i,1.39282220891245e-05+3.49109759025427e-06i,1.02177711044523e-06+1.30265527710792e-06i
0.00659591394831761+0.00516205091138157i,1.81041262417877e-05+4.58398851838203e-06i,1.33496249181924e-06+1.73684145816128e-06i,1.81041262417811e-05+4.58398851838169e-06i,1.33496249181868e-06+1.73684145816067e-06i
0.00659591394831761+0.00516205091138157i,2.30538664785909e-05+5.90266967385272e-06i,1.7101525690984e-06+2.27525768567224e-06i,2.30538664785849e-05+5.9026696738517e-06i,1.7101525690983e-06+2.27525768567276e-06i
0.00659591394831761+0.00516205091138157i,2.89113572732618e-05+7.49253354114165e-06i,2.15957313806858e-06+2.94381148329292e-06i,2.89113572732818e-05+7.4925335411451e-06i,2.15957313807016e-06+2.94381148329393e-06i
0.00659591394831761+0.00516205091138157i,3.58541089013969e-05+9.41344254108124e-06i,2.69962067307767e-06+3.77733143303817e-06i,3.58541089014095e-05+9.41344254108385e-06i,2.69962067307859e-06+3.77733143303906e-06i
0.00659591394831761+0.00516205091138157i,4.41208734116497e-05+1.17455583237653e-05i,3.35261551939181e-06+4.82336413228568e-06i,4.41208734116762e-05+1.17455583237702e-05i,3.35261551939388e-06+4.82336413228762e-06i
0.00659591394831761+0.00516205091138157i,5.40388227944313e-05+1.45983318082041e-05i,4.1495193934425e-06+6.14807536968153e-06i,5.40388227942672e-05+1.45983318081815e-05i,4.14951939342776e-06+6.14807536967078e-06i
0.00659591394831761+0.00516205091138157i,6.60668162632082e-05+1.81248289067543e-05i,5.13428714325222e-06+7.84572184664283e-06i,6.60668162632564e-05+1.81248289067582e-05i,5.13428714325718e-06+7.84572184664419e-06i
0.00659591394831761+0.00516205091138157i,8.08670391038301e-05+2.25454662308722e-05i,6.37111057594759e-06+1.00544482341983e-05i,8.08670391038636e-05+2.25454662308781e-05i,6.37111057594944e-06+1.00544482341986e-05i
0.00659591394831761+0.00516205091138157i,9.94293236163916e-05+2.81892217841126e-05i,7.95704876997534e-06+1.29838760704229e-05i,9.94293236163585e-05+2.81892217841092e-05i,7.95704876997236e-06+1.29838760704215e-05i
0.00659591394831761+0.00516205091138157i,0.000123299563658133+3.55693787200644e-05i,1.00453287682035e-05+1.69660706942119e-05i,0.000123299563658131+3.55693787200663e-05i,1.00453287682035e-05+1.69660706942122e-05i
